Rang;ID;Idee;Kategorie;Kriterien;Aufwand;Daten;N;braucht;Herkunft;erledigt;Notiz
1;S1;Korrekturpaket ch2/ch3 (E1 beider Läufe);Absicherung;3, 7;S 4–6 h;nein;5;–;L1+L2;;
2;S2;QP-Brücke: Prädiktor, QP-Tauglichkeitstabelle, Nebenbedingungen, Beobachter;Absicherung;1, 4, 5;S 4–6 h;nein;5;–;L1+L2;;
3;A2;Konfundierung und Konditionierung (multiples R², VIF, Belsley);Analyse;3, 4, 5;S 3–5 h;vorhanden;5;–;L1+L2;;
3;B1;Streubild \valveCA über Last, Feld gegen DoE;Abbildung;4, 5, 7;S 2–4 h;vorhanden;5;mit A2;L2;;
4;A3;Residuentests je Modell;Analyse;3, 4, 6;S 3–5 h;vorhanden;5;–;L1+L2;;
5;A5;Fehler über dem MPC-Horizont mit Persistenzreferenz;Analyse;1, 4, 5;S 3–5 h;vorhanden;5 (L2: 4);–;L1+L2;;
6;D1;Beitragsliste und Abgrenzung;Diskussion;5, 6;S 2–3 h;nein;5;E2;L2;;
7;D12;Reduzierte Modelle: POD-Galerkin gegen \sindyc;Diskussion;2, 5;S 2–3 h;nein;4;–;L1;;
8;A18;Verschiebungsinvarianz-Test;Analyse;4, 5, 6;S 2–4 h;vorhanden;4;–;L1;;
9;S3;Datenvertrag, Hyperparameterwahl ohne Testdaten, Leakage-Prüfung;Absicherung;3, 4, 7;S 3–5 h (ohne Neurechnung);vorhanden;5;–;L1+L2;;
10;D3;Übertragbarkeit auf die 51/60DF-Flotte (Diskussion);Diskussion;2, 5, 6;S 2–3 h;nein;3;–;L1+L2;;
11;D4;Fouling als langsame Parameterdrift (Diskussion);Diskussion;4, 5;S 2–3 h;nein;3;–;L2;;
12;B8;Ersatzschaltbild der Einzustandsbilanz;Abbildung;5, 7;S 2–3 h;nein;3;–;L1;;
13;B9;Zielwert als gewichtete Mischung von \Tin, \THT, \TLT;Abbildung;5, 7;S 2–3 h;nein (qualitativ);3;–;L1;;
14;A1;Ventil-Gain-Karte mit Band und DoE-Überdeckung;Analyse;3, 4, 5, 6;S 4–6 h;vorhanden;5;–;L2;;
15;B3;Ampelmatrix Niveau/Dynamik/Stellwirkung;Abbildung;1, 4, 5, 7;S 2–4 h;vorhanden;4;A1, A3, A5;L1+L2;;
16;A7;Gain-Toleranz des MPC (Grundversion);Analyse;1, 4, 6;S 4–6 h;vorhanden;5;S2, A1;L1+L2;;
17;B2;Blockschaltbild mit zwei Fehlerpfaden;Abbildung;4, 5, 7;S 3–5 h;nein;4;–;L1+L2;;
18;A12;FROLS/ERR gegen STLSQ auf derselben Bibliothek;Analyse;4, 5;S 3–5 h;vorhanden;4;–;L2;;
19;D2;"Niveau- gegen Gain-Fehler im offsetfreien MPC; Beobachter als Kalman-Filter";Diskussion;3, 4, 5;S 3–5 h;nein;4;S2;L1+L2;;
20;S6;Placebo-Test und Plausibilität des Ventil-Gains;Absicherung;3, 4, 6;S 3–5 h;vorhanden;4;A1;L2;;
21;A6;Kennfeld-Schranke des stationären Ventil-Gains;Analyse;5, 6;S 2–4 h;vorhanden (Kennfeld);3;–;L2;;
22;B7;Modellfamilien-Landkarte über den LSQ-Kern;Abbildung;4, 5, 7;S 2–4 h;nein;3;–;L2;;
23;S4;Gepaarter Modellvergleich (Block-Bootstrap, Diebold-Mariano);Absicherung;3, 4, 7;S 3–6 h;vorhanden;4;S3;L2;;
24;D10;Stufenleiter LTV-QP bis NMPC (Ausblicktabelle);Diskussion;4, 5, 6;S 3–4 h;nein;3;S2;L2;;
25;A9;Totzeit aus DoE-Sprüngen;Analyse;3, 4, 5;S 4–6 h;vorhanden;4;–;L2;;
26;D5;Rechenzeit und QP-Größe;Diskussion;1, 5, 7;S 3–5 h;nein;3;S2;L1+L2;;
27;A14;Proxy-Sensitivität \mrel, q_rel, Last;Analyse;3, 4, 5;S 3–5 h;vorhanden;3;S4;L2;;
28;B6;Pareto-Front Sparsität gegen Freilauffehler;Abbildung;2, 4, 5;S 3–5 h;vorhanden;3;–;L2;;
29;A8;Wert der Störgrößenvorschau im MPC;Analyse;3, 4, 6;M 4–7 h;vorhanden;4;S2;L2;;
30;A13;CL-Bias-Diagnose Stufe 0 und 1: Modussprung, Reglerinversion, Instrumentstärke;Analyse;4, 5, 6;M 6–9 h;vorhanden;5;Reglerparameter;L1+L2;;
31;S5;Stabilitäts- und Ruhelagenprüfung über dem Betriebsbereich;Absicherung;1, 3, 4;M 4–8 h;vorhanden;4;–;L1+L2;;
32;D11;Weitere Betriebsart, Methanol (E4: M1, M2, M4);Diskussion;1, 5, 6;S 2–4 h;nein;2;–;L2;;
33;D6;Gültigkeitsbereich überwachen, Rückfall auf ChATCo;Diskussion;3, 5, 6;S 4–6 h;vorhanden;3;–;L2;;
34;B4;|S| über Periodendauer mit Störspektren;Abbildung;4, 5, 6;M 4–7 h;vorhanden;3;Reglerparameter;L2;;
35;D8;Mindestanregung (Dither) aus DoE-Daten;Diskussion;2, 4, 5, 6;M 6–10 h;vorhanden;4;–;L2;;
36;B5;Datenlandkarte mit gleitender Konditionszahl;Abbildung;2, 4, 7;M 6–10 h;vorhanden;4;S3;L2;;
37;A15;Abtastzeit-Sensitivität;Analyse;4, 5, 6;M 5–8 h;vorhanden;3;A9;L2;;
38;A16;Sensorbias-Sensitivität (Errors-in-Variables);Analyse;3, 4, 5;M 5–8 h;vorhanden;3;–;L2;;
39;D7;Back-off an Taupunkt und Derating, exakte weiche Schranke;Diskussion;3, 5, 6;M 5–8 h;vorhanden;3;A5;L1+L2;;
40;A4;Termstabilität und Koeffizientenintervalle (Block-Bootstrap);Analyse;3, 4, 6;M 8–12 h;vorhanden;4;S3;L1+L2;;
41;A10;Physikalische Referenz als Nullmodell;Analyse;3, 4, 5;M 8–12 h;vorhanden;4;–;L1+L2;;
42;A11;Twin-Experiment: Auswertekette mit bekannter Wahrheit;Analyse;4, 5, 6;M 8–12 h;nein;4;–;L2;;
43;D9;Online-Nachführung als RLS-Replay;Diskussion;4, 5, 6;M 6–10 h;vorhanden;3;–;L1+L2;;
44;A17;Dieselabschnitte als Probe für andere Betriebsart (E4 M3);Analyse;2, 4, 6;M 6–12 h;vorhanden;3;–;L2;;
